Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
22,tt0479500,2016-08-01,2016-08-01,,"Nancy Drew","Nancy Drew",https://www.imdb.com/title/tt0479500/,Movie,5.9,99,2007,"Comedy, Crime, Family, Mystery, Romance, Thriller",22210,2007-06-15,"Andrew Fleming"
23,tt1810683,2016-08-01,2016-08-01,,"Little Boy","Little Boy",https://www.imdb.com/title/tt1810683/,Movie,7.3,106,2015,"Drama, History, War",24747,2015-04-24,"Alejandro Monteverde"
24,tt0036244,2016-08-01,2016-08-01,,"The Ox-Bow Incident","The Ox-Bow Incident",https://www.imdb.com/title/tt0036244/,Movie,8.0,75,1943,"Drama, Western",26533,1943-05-21,"William A. Wellman"
25,tt0117110,2016-08-01,2016-08-01,,"Muppet Treasure Island","Muppet Treasure Island",https://www.imdb.com/title/tt0117110/,Movie,6.9,99,1996,"Action, Adventure, Comedy, Family, Musical, Romance",28451,1996-02-16,"Brian Henson"
26,tt0029870,2016-08-01,2016-08-01,,"Angels with Dirty Faces","Angels with Dirty Faces",https://www.imdb.com/title/tt0029870/,Movie,7.9,97,1938,"Crime, Drama, Film-Noir, Thriller",24434,1938-11-26,"Michael Curtiz"
27,tt0037913,2016-08-01,2016-08-01,,"Mildred Pierce","Mildred Pierce",https://www.imdb.com/title/tt0037913/,Movie,7.9,111,1945,"Crime, Drama, Film-Noir, Mystery, Romance",30609,1945-10-20,"Michael Curtiz"
28,tt2388637,2016-08-01,2016-08-01,,"Ain't Them Bodies Saints","Ain't Them Bodies Saints",https://www.imdb.com/title/tt2388637/,Movie,6.4,96,2013,"Crime, Drama, Romance, Western",23547,2013-08-16,"David Lowery"
29,tt1517489,2016-08-01,2016-08-01,,"Spy Kids 4: All the Time in the World","Spy Kids: All the Time in the World",https://www.imdb.com/title/tt1517489/,Movie,3.6,89,2011,"Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",30096,2011-08-19,"Robert Rodriguez"
30,tt0023245,2016-08-01,2016-08-01,,"The Mummy","The Mummy",https://www.imdb.com/title/tt0023245/,Movie,6.9,73,1932,"Fantasy, Horror",32555,1932-12-22,"Karl Freund"
31,tt0033729,2016-08-01,2016-08-01,,"How Green Was My Valley","How Green Was My Valley",https://www.imdb.com/title/tt0033729/,Movie,7.7,118,1941,"Drama, Family",28464,1942-01-29,"John Ford"
32,tt0078163,2016-08-01,2016-08-01,,"Revenge of the Pink Panther","Revenge of the Pink Panther",https://www.imdb.com/title/tt0078163/,Movie,6.6,99,1978,"Comedy, Crime, Mystery",24644,1978-07-19,"Blake Edwards"
33,tt0101829,2016-08-01,2016-08-01,,"Europa","Europa",https://www.imdb.com/title/tt0101829/,Movie,7.5,108,1991,"Crime, Drama, Thriller",24274,1991-06-27,"Lars von Trier"
34,tt0099615,2016-08-01,2016-08-01,,"The Freshman","The Freshman",https://www.imdb.com/title/tt0099615/,Movie,6.5,102,1990,"Comedy, Crime",22960,1990-07-27,"Andrew Bergman"
35,tt4005402,2016-08-01,2016-08-01,,"Colonia","Colonia",https://www.imdb.com/title/tt4005402/,Movie,7.0,110,2015,"Biography, Drama, History, Romance, Thriller",59121,2016-04-15,"Florian Gallenberger"
36,tt2473602,2016-08-01,2016-08-01,,"Get on Up","Get on Up",https://www.imdb.com/title/tt2473602/,Movie,6.9,139,2014,"Biography, Drama, Music",26918,2014-08-01,"Tate Taylor"
37,tt0110678,2016-08-01,2016-08-01,,"No Escape","No Escape",https://www.imdb.com/title/tt0110678/,Movie,6.1,118,1994,"Action, Drama, Sci-Fi, Thriller",23937,1994-04-29,"Martin Campbell"
38,tt0210616,2016-08-01,2016-08-01,,"Center Stage","Center Stage",https://www.imdb.com/title/tt0210616/,Movie,6.7,115,2000,"Drama, Music, Romance",23668,2000-05-12,"Nicholas Hytner"
39,tt0117011,2016-08-01,2016-08-01,,"Maximum Risk","Maximum Risk",https://www.imdb.com/title/tt0117011/,Movie,5.6,101,1996,"Action, Crime, Thriller",25339,1996-09-13,"Ringo Lam"
40,tt0109676,2016-08-01,2016-08-01,,"Drop Zone","Drop Zone",https://www.imdb.com/title/tt0109676/,Movie,5.6,101,1994,"Action, Adventure, Thriller",22688,1994-12-09,"John Badham"
41,tt0076070,2016-08-01,2016-08-01,,"The Gauntlet","The Gauntlet",https://www.imdb.com/title/tt0076070/,Movie,6.4,109,1977,"Action, Crime, Thriller",26895,1977-12-21,"Clint Eastwood"
42,tt0159382,2016-08-01,2016-08-01,,"Croupier","Croupier",https://www.imdb.com/title/tt0159382/,Movie,7.0,94,1998,"Crime, Drama, Thriller",24512,2000-07-28,"Mike Hodges"
43,tt0361089,2016-08-01,2016-08-01,,"Valiant","Valiant",https://www.imdb.com/title/tt0361089/,Movie,5.5,76,2005,"Animation, Adventure, Comedy, Family, War",25482,2005-08-19,"Gary Chapman"
44,tt2195548,2016-08-01,2016-08-01,,"Prince Avalanche","Prince Avalanche",https://www.imdb.com/title/tt2195548/,Movie,6.3,94,2013,"Comedy, Drama",21293,2013-09-19,"David Gordon Green"
45,tt0092263,2016-08-01,2016-08-01,,"A Better Tomorrow","Ying hung boon sik",https://www.imdb.com/title/tt0092263/,Movie,7.4,95,1986,"Action, Crime, Drama, Thriller",27542,2025-07-08,"John Woo"
46,tt0942384,2016-08-01,2016-08-01,,"Shelter","Shelter",https://www.imdb.com/title/tt0942384/,Movie,7.6,97,2007,"Drama, Romance, Sport",25209,2009-04-16,"Jonah Markowitz"
47,tt0961097,2016-08-01,2016-08-01,,"A Monster in Paris","Un monstre à Paris",https://www.imdb.com/title/tt0961097/,Movie,6.7,90,2011,"Animation, Adventure, Comedy, Family, Fantasy, Music, Romance, Sci-Fi",23827,2011-10-12,"Bibo Bergeron"
48,tt0401233,2016-08-01,2016-08-01,,"Appleseed","Appurushîdo",https://www.imdb.com/title/tt0401233/,Movie,6.9,101,2004,"Animation, Action, Adventure, Drama, Sci-Fi, Thriller, War",18896,2004-04-17,"Shinji Aramaki"
49,tt0381940,2016-08-01,2016-08-01,,"Cargo","Cargo",https://www.imdb.com/title/tt0381940/,Movie,6.1,112,2009,"Drama, Mystery, Sci-Fi, Thriller",20476,2013-09-13,"Ivan Engler, Ralph Etter"
50,tt2556308,2016-08-01,2016-08-01,,"Holiday","Holiday",https://www.imdb.com/title/tt2556308/,Movie,7.2,160,2014,"Action, Crime, Thriller",31605,2014-06-06,"A.R. Murugadoss"
51,tt1135092,2016-08-01,2016-08-01,,"The Limits of Control","The Limits of Control",https://www.imdb.com/title/tt1135092/,Movie,6.2,116,2009,"Crime, Drama, Mystery, Thriller",21757,2009-09-19,"Jim Jarmusch"
52,tt0960890,2016-08-01,2016-08-01,,"Zombie Strippers!","Zombie Strippers!",https://www.imdb.com/title/tt0960890/,Movie,4.1,94,2008,"Comedy, Horror, Sci-Fi",19445,2008-09-19,"Jay Lee"
53,tt0275719,2016-08-01,2016-08-01,,"Tape","Tape",https://www.imdb.com/title/tt0275719/,Movie,7.2,86,2001,"Drama",21969,2002-07-12,"Richard Linklater"
54,tt0115986,2016-08-01,2016-08-01,,"The Crow: City of Angels","The Crow: City of Angels",https://www.imdb.com/title/tt0115986/,Movie,4.6,84,1996,"Action, Crime, Fantasy, Horror, Thriller",23164,1996-08-30,"Tim Pope"
55,tt0790604,2016-08-01,2016-08-01,,"Deck the Halls","Deck the Halls",https://www.imdb.com/title/tt0790604/,Movie,5.1,93,2006,"Comedy, Family",36969,2006-11-22,"John Whitesell"
56,tt2187153,2016-08-01,2016-08-01,,"Thuppakki","Thuppakki",https://www.imdb.com/title/tt2187153/,Movie,8.1,165,2012,"Action, Crime, Musical, Thriller",40624,2012-11-13,"A.R. Murugadoss"
57,tt0041090,2016-08-01,2016-08-01,,"Adam's Rib","Adam's Rib",https://www.imdb.com/title/tt0041090/,Movie,7.4,101,1949,"Comedy, Romance",24143,1949-11-17,"George Cukor"
58,tt1748207,2016-08-01,2016-08-01,,"Sound of My Voice","Sound of My Voice",https://www.imdb.com/title/tt1748207/,Movie,6.5,85,2011,"Drama, Mystery, Sci-Fi, Thriller",23584,2012-08-03,"Zal Batmanglij"
59,tt0103247,2016-08-01,2016-08-01,,"White Fang","White Fang",https://www.imdb.com/title/tt0103247/,Movie,6.7,107,1991,"Adventure, Drama, Family",23720,1991-01-18,"Randal Kleiser"
60,tt0067309,2016-08-01,2016-08-01,,"Klute","Klute",https://www.imdb.com/title/tt0067309/,Movie,7.1,114,1971,"Crime, Mystery, Thriller",32765,1971-06-25,"Alan J. Pakula"
61,tt1046997,2016-08-01,2016-08-01,,"Miracle at St. Anna","Miracle at St. Anna",https://www.imdb.com/title/tt1046997/,Movie,6.1,160,2008,"Action, Drama, War",19575,2008-09-26,"Spike Lee"
62,tt0420251,2016-08-01,2016-08-01,,"Three... Extremes","Sam gang 2",https://www.imdb.com/title/tt0420251/,Movie,6.9,125,2004,"Horror",21627,2004-08-20,"Fruit Chan, Park Chan-wook, Takashi Miike"
63,tt1441951,2016-08-01,2016-08-01,,"Quartet","Quartet",https://www.imdb.com/title/tt1441951/,Movie,6.8,98,2012,"Comedy, Drama, Music, Romance",21971,2013-03-01,"Dustin Hoffman"
64,tt0039192,2016-08-01,2016-08-01,,"Black Narcissus","Black Narcissus",https://www.imdb.com/title/tt0039192/,Movie,7.7,101,1947,"Drama",30414,1947-12,"Michael Powell, Emeric Pressburger"
65,tt2702724,2016-08-01,2016-08-01,,"The Boss","The Boss",https://www.imdb.com/title/tt2702724/,Movie,5.4,99,2016,"Comedy",50216,2016-04-08,"Ben Falcone"
66,tt0119896,2016-08-01,2016-08-01,,"Picture Perfect","Picture Perfect",https://www.imdb.com/title/tt0119896/,Movie,5.5,101,1997,"Comedy, Drama, Romance",22321,1997-08-01,"Glenn Gordon Caron"
67,tt0105226,2016-08-01,2016-08-01,,"Red Rock West","Red Rock West",https://www.imdb.com/title/tt0105226/,Movie,7.0,98,1993,"Crime, Drama, Thriller",27501,1993-05-14,"John Dahl"
68,tt1205558,2016-08-01,2016-08-01,,"Hick","Hick",https://www.imdb.com/title/tt1205558/,Movie,5.5,99,2011,"Comedy, Drama",21528,2012-05-11,"Derick Martini"
69,tt0048254,2016-08-01,2016-08-01,,"Killer's Kiss","Killer's Kiss",https://www.imdb.com/title/tt0048254/,Movie,6.5,67,1955,"Crime, Drama, Film-Noir, Thriller",27621,1955-10-01,"Stanley Kubrick"
70,tt2183034,2016-08-01,2016-08-01,,"Earth to Echo","Earth to Echo",https://www.imdb.com/title/tt2183034/,Movie,5.7,91,2014,"Adventure, Family, Sci-Fi",20281,2014-07-02,"Dave Green"
71,tt3297330,2016-08-01,2016-08-01,,"Good Kill","Good Kill",https://www.imdb.com/title/tt3297330/,Movie,6.4,102,2014,"Drama, Thriller, War",25591,2015-05-15,"Andrew Niccol"
72,tt2023453,2016-08-01,2016-08-01,,"Diary of a Wimpy Kid: Dog Days","Diary of a Wimpy Kid: Dog Days",https://www.imdb.com/title/tt2023453/,Movie,6.3,94,2012,"Comedy, Family",32889,2012-08-03,"David Bowers"
73,tt1928330,2016-08-01,2016-08-01,,"Bad Ass","Bad Ass",https://www.imdb.com/title/tt1928330/,Movie,5.5,90,2012,"Action, Comedy, Crime, Thriller",20192,2014-11-05,"Craig Moss"
74,tt0192071,2016-08-01,2016-08-01,,"Get Over It","Get Over It",https://www.imdb.com/title/tt0192071/,Movie,5.7,87,2001,"Comedy, Romance",20721,2001-03-09,"Tommy O'Haver"
75,tt0071115,2016-08-01,2016-08-01,,"Alice Doesn't Live Here Anymore","Alice Doesn't Live Here Anymore",https://www.imdb.com/title/tt0071115/,Movie,7.3,112,1974,"Drama, Romance",29156,1975-05-23,"Martin Scorsese"
76,tt2832470,2016-08-01,2016-08-01,,"Dead Snow 2: Red vs. Dead","Død snø 2",https://www.imdb.com/title/tt2832470/,Movie,6.8,100,2014,"Action, Comedy, Horror",28110,2014-10-07,"Tommy Wirkola"
77,tt1029231,2016-08-01,2016-08-01,,"Krrish 3","Krrish 3",https://www.imdb.com/title/tt1029231/,Movie,5.4,152,2013,"Action, Adventure, Sci-Fi",27984,2013-11-01,"Rakesh Roshan"
78,tt0422774,2016-08-01,2016-08-01,,"Are We Done Yet?","Are We Done Yet?",https://www.imdb.com/title/tt0422774/,Movie,4.3,92,2007,"Comedy, Family",23609,2007-04-04,"Steve Carr"
79,tt0028010,2016-08-01,2016-08-01,,"My Man Godfrey","My Man Godfrey",https://www.imdb.com/title/tt0028010/,Movie,7.9,94,1936,"Comedy, Drama, Romance",28022,1936-09-06,"Gregory La Cava"
80,tt0252488,2016-08-01,2016-08-01,,"The Chaos Class Failed the Class","Hababam Sinifi: Sinifta Kaldi",https://www.imdb.com/title/tt0252488/,Movie,8.6,95,1975,"Comedy",28600,1975-12,"Ertem Egilmez"
81,tt0205271,2016-08-01,2016-08-01,,"Dr. T & the Women","Dr. T & the Women",https://www.imdb.com/title/tt0205271/,Movie,4.7,122,2000,"Comedy, Drama, Romance",20752,2000-10-13,"Robert Altman"
82,tt0048356,2016-08-01,2016-08-01,,"Marty","Marty",https://www.imdb.com/title/tt0048356/,Movie,7.6,90,1955,"Drama, Romance",29578,1955-06-10,"Delbert Mann"
83,tt1449283,2016-08-01,2016-08-01,,"Winnie the Pooh","Winnie the Pooh",https://www.imdb.com/title/tt1449283/,Movie,7.1,63,2011,"Animation, Adventure, Comedy, Family, Fantasy, Musical",30126,2011-08-29,"Stephen J. Anderson, Don Hall"
84,tt0467110,2016-08-01,2016-08-01,,"Underdog","Underdog",https://www.imdb.com/title/tt0467110/,Movie,4.8,84,2007,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",23609,2007-08-03,"Frederik Du Chau"
85,tt0120772,2016-08-01,2016-08-01,,"The Object of My Affection","The Object of My Affection",https://www.imdb.com/title/tt0120772/,Movie,6.0,111,1998,"Comedy, Drama, Romance",22282,1998-04-17,"Nicholas Hytner"
86,tt1536410,2016-08-01,2016-08-01,,"Faces in the Crowd","Faces in the Crowd",https://www.imdb.com/title/tt1536410/,Movie,5.7,103,2011,"Crime, Drama, Mystery, Romance, Thriller",20731,2011-10-07,"Julien Magnat"
87,tt1648216,2016-08-01,2016-08-01,,"Three Steps Above Heaven","Tres metros sobre el cielo",https://www.imdb.com/title/tt1648216/,Movie,6.7,118,2010,"Action, Drama, Romance",30577,2010-12-03,"Fernando González Molina"
88,tt1179025,2016-08-01,2016-08-01,,"The Extraordinary Adventures of Adèle Blanc-Sec","Les aventures extraordinaires d'Adèle Blanc-Sec",https://www.imdb.com/title/tt1179025/,Movie,6.3,107,2010,"Action, Adventure, Comedy, Family, Fantasy, Mystery",24110,2010-04-14,"Luc Besson"
89,tt1356864,2016-08-01,2016-08-01,,"I'm Still Here","I'm Still Here",https://www.imdb.com/title/tt1356864/,Movie,6.1,108,2010,"Comedy, Drama, Music",24712,2010-09-16,"Casey Affleck"
90,tt1424310,2016-08-01,2016-08-01,,"Chinese Zodiac","Shi er shengxiao",https://www.imdb.com/title/tt1424310/,Movie,6.0,109,2012,"Action, Adventure, Comedy, Crime",25776,2013-10-18,"Jackie Chan"
91,tt0110737,2016-08-01,2016-08-01,,"Only You","Only You",https://www.imdb.com/title/tt0110737/,Movie,6.5,109,1994,"Comedy, Romance",28480,1994-10-07,"Norman Jewison"
92,tt0117128,2016-08-01,2016-08-01,,"Mystery Science Theater 3000: The Movie","Mystery Science Theater 3000: The Movie",https://www.imdb.com/title/tt0117128/,Movie,7.1,73,1996,"Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",19223,1996-04-19,"Jim Mallon"
93,tt0219822,2016-08-01,2016-08-01,,"Human Nature","Human Nature",https://www.imdb.com/title/tt0219822/,Movie,6.4,96,2001,"Comedy, Drama",19441,2001-09-12,"Michel Gondry"
94,tt0115438,2016-08-01,2016-08-01,,"2 Days in the Valley","2 Days in the Valley",https://www.imdb.com/title/tt0115438/,Movie,6.5,104,1996,"Comedy, Crime, Thriller",22577,1996-09-27,"John Herzfeld"
95,tt0086617,2016-08-01,2016-08-01,,"The Year of Living Dangerously","The Year of Living Dangerously",https://www.imdb.com/title/tt0086617/,Movie,7.1,115,1982,"Drama, Romance, War",24264,1983-02-18,"Peter Weir"
96,tt0158622,2016-08-01,2016-08-01,,"The Flintstones in Viva Rock Vegas","The Flintstones in Viva Rock Vegas",https://www.imdb.com/title/tt0158622/,Movie,3.7,90,2000,"Comedy, Family, Romance, Sci-Fi",26622,2000-04-28,"Brian Levant"
97,tt0089489,2016-08-01,2016-08-01,,"Lifeforce","Lifeforce",https://www.imdb.com/title/tt0089489/,Movie,6.2,101,1985,"Action, Horror, Mystery, Romance, Sci-Fi, Thriller",33295,1985-06-21,"Tobe Hooper"
98,tt1535970,2016-08-01,2016-08-01,,"The Ledge","The Ledge",https://www.imdb.com/title/tt1535970/,Movie,6.5,101,2011,"Drama, Romance, Thriller",20945,2011-05-26,"Matthew Chapman"
99,tt1440732,2016-08-01,2016-08-01,,"Bel Ami","Bel Ami",https://www.imdb.com/title/tt1440732/,Movie,5.4,102,2012,"Crime, Drama, History, Romance",19766,2012-03-09,"Declan Donnellan, Nick Ormerod"
100,tt1032825,2016-08-01,2016-08-01,,"The Other Woman","Love and Other Impossible Pursuits",https://www.imdb.com/title/tt1032825/,Movie,6.3,102,2009,"Drama",20212,2010-10-28,"Don Roos"
101,tt0411270,2016-08-01,2016-08-01,,"The Beat That My Heart Skipped","De battre mon coeur s'est arrêté",https://www.imdb.com/title/tt0411270/,Movie,7.2,108,2005,"Crime, Drama, Music",21300,2005-03-16,"Jacques Audiard"
102,tt0051622,2016-08-01,2016-08-01,,"The Fly","The Fly",https://www.imdb.com/title/tt0051622/,Movie,7.1,94,1958,"Drama, Horror, Sci-Fi",27373,1958-07-16,"Kurt Neumann"
103,tt1220888,2016-08-01,2016-08-01,,"Henry's Crime","Henry's Crime",https://www.imdb.com/title/tt1220888/,Movie,5.9,108,2010,"Comedy, Crime, Drama, Romance",22096,2011-01-14,"Malcolm Venville"
104,tt0059183,2016-08-01,2016-08-01,,"The Flight of the Phoenix","The Flight of the Phoenix",https://www.imdb.com/title/tt0059183/,Movie,7.5,142,1965,"Adventure, Drama",23591,1965-12-15,"Robert Aldrich"
105,tt0104990,2016-08-01,2016-08-01,,"Newsies","Newsies",https://www.imdb.com/title/tt0104990/,Movie,6.9,121,1992,"Drama, Family, History, Musical",23802,1992-04-10,"Kenny Ortega"
106,tt0090103,2016-08-01,2016-08-01,,"The Sure Thing","The Sure Thing",https://www.imdb.com/title/tt0090103/,Movie,7.0,95,1985,"Comedy, Drama, Romance",23241,1985-03-01,"Rob Reiner"
107,tt0100212,2016-08-01,2016-08-01,,"My Blue Heaven","My Blue Heaven",https://www.imdb.com/title/tt0100212/,Movie,6.3,97,1990,"Comedy, Crime",23568,1990-08-17,"Herbert Ross"
108,tt0077711,2016-08-01,2016-08-01,,"Autumn Sonata","Höstsonaten",https://www.imdb.com/title/tt0077711/,Movie,8.1,99,1978,"Drama, Music",40966,1978-10-18,"Ingmar Bergman"
109,tt0757361,2016-08-01,2016-08-01,,"Margot at the Wedding","Margot at the Wedding",https://www.imdb.com/title/tt0757361/,Movie,6.0,91,2007,"Comedy, Drama",23289,2008-02-21,"Noah Baumbach"
110,tt1659338,2016-08-01,2016-08-01,,"The Numbers Station","The Numbers Station",https://www.imdb.com/title/tt1659338/,Movie,5.6,89,2013,"Action, Thriller",21345,2013-04-26,"Kasper Barfoed"
111,tt0108185,2016-08-01,2016-08-01,,"Sommersby","Sommersby",https://www.imdb.com/title/tt0108185/,Movie,6.3,114,1993,"Drama, Mystery, Romance",24315,1993-02-05,"Jon Amiel"
112,tt0109555,2016-08-01,2016-08-01,,"Darr","Darr",https://www.imdb.com/title/tt0109555/,Movie,7.6,178,1993,"Action, Drama, Romance, Thriller",26705,1993-12-24,"Yash Chopra"
113,tt0116421,2016-08-01,2016-08-01,,"The Glimmer Man","The Glimmer Man",https://www.imdb.com/title/tt0116421/,Movie,5.4,91,1996,"Action, Comedy, Crime, Drama, Thriller",22183,1996-10-04,"John Gray"
114,tt3210686,2016-08-01,2016-08-01,,"Son of God","Son of God",https://www.imdb.com/title/tt3210686/,Movie,5.8,138,2014,"Biography, Drama, History",20202,2014-02-28,"Christopher Spencer"
115,tt0080437,2016-08-01,2016-08-01,,"The Big Red One","The Big Red One",https://www.imdb.com/title/tt0080437/,Movie,7.1,113,1980,"Drama, War",22505,1980-07-18,"Samuel Fuller"
116,tt0246989,2016-08-01,2016-08-01,,"Tomcats","Tomcats",https://www.imdb.com/title/tt0246989/,Movie,5.3,95,2001,"Comedy",20482,2001-03-30,"Gregory Poirier"
117,tt1735485,2016-08-01,2016-08-01,,"The Tunnel","The Tunnel",https://www.imdb.com/title/tt1735485/,Movie,5.8,94,2011,"Horror, Mystery, Thriller",25195,2011-05-19,"Carlo Ledesma"
118,tt1234541,2016-08-01,2016-08-01,,"The Butterfly Effect 3: Revelations","The Butterfly Effect 3: Revelations",https://www.imdb.com/title/tt1234541/,Movie,5.6,90,2009,"Crime, Sci-Fi, Thriller",21438,2009-07-31,"Seth Grossman"
119,tt0896534,2016-08-01,2016-08-01,,"Deadgirl","Deadgirl",https://www.imdb.com/title/tt0896534/,Movie,5.5,101,2008,"Horror",20626,2013-04-20,"Marcel Sarmiento, Gadi Harel"
120,tt1042877,2016-08-01,2016-08-01,,"Cadillac Records","Cadillac Records",https://www.imdb.com/title/tt1042877/,Movie,7.0,109,2008,"Biography, Drama, Music",24115,2008-12-05,"Darnell Martin"
121,tt1984153,2016-08-01,2016-08-01,,"Excision","Excision",https://www.imdb.com/title/tt1984153/,Movie,6.1,81,2012,"Comedy, Drama, Horror",26316,2012-11-02,"Richard Bates Jr."
122,tt0397044,2016-08-01,2016-08-01,,"Blood and Chocolate","Blood and Chocolate",https://www.imdb.com/title/tt0397044/,Movie,5.3,98,2007,"Drama, Fantasy, Horror, Romance",18705,2007-01-26,"Katja von Garnier"
123,tt0195234,2016-08-01,2016-08-01,,"Saving Grace","Saving Grace",https://www.imdb.com/title/tt0195234/,Movie,6.9,93,2000,"Comedy, Crime",19872,2000-09-01,"Nigel Cole"
124,tt1630036,2016-08-01,2016-08-01,,"Courageous","Courageous",https://www.imdb.com/title/tt1630036/,Movie,6.9,129,2011,"Drama",22280,2011-09-30,"Alex Kendrick"
125,tt0084865,2016-08-01,2016-08-01,,"Victor/Victoria","Victor/Victoria",https://www.imdb.com/title/tt0084865/,Movie,7.6,134,1982,"Comedy, Music, Romance",25159,1982-03-19,"Blake Edwards"
126,tt1905040,2016-08-01,2016-08-01,,"Devil's Pass","The Dyatlov Pass Incident",https://www.imdb.com/title/tt1905040/,Movie,5.7,100,2013,"Horror, Mystery, Thriller",29883,2013-02-28,"Renny Harlin"
